Device: mps
Compute dtype: torch.float32
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 4.561382e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011057 | lrm: 1.00 | dt: 1032ms | tok/sec: 15,880 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.970252 | lrm: 1.00 | dt: 783ms | tok/sec: 20,924 | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.768026 | lrm: 1.00 | dt: 784ms | tok/sec: 20,909 | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.490363 | lrm: 1.00 | dt: 774ms | tok/sec: 21,161 | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.263239 | lrm: 1.00 | dt: 768ms | tok/sec: 21,342 | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.035433 | lrm: 1.00 | dt: 775ms | tok/sec: 21,138 | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.849187 | lrm: 1.00 | dt: 780ms | tok/sec: 20,994 | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.650688 | lrm: 1.00 | dt: 788ms | tok/sec: 20,794 | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.498568 | lrm: 1.00 | dt: 893ms | tok/sec: 18,348 | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.378754 | lrm: 1.00 | dt: 794ms | tok/sec: 20,622 | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.242916 | lrm: 1.00 | dt: 820ms | tok/sec: 19,982 | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.130106 | lrm: 1.00 | dt: 817ms | tok/sec: 20,045 | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.056724 | lrm: 1.00 | dt: 800ms | tok/sec: 20,485 | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.957448 | lrm: 1.00 | dt: 812ms | tok/sec: 20,170 | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.889864 | lrm: 1.00 | dt: 825ms | tok/sec: 19,860 | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.822036 | lrm: 1.00 | dt: 807ms | tok/sec: 20,294 | epoch: 1 | remaining: 296s    
step 00036 (6.8%) | loss: 6.017971 | lrm: 1.00 | dt: 813ms | tok/sec: 20,160 | epoch: 1 | remaining: 279s    
step 00037 (7.0%) | loss: 6.005787 | lrm: 1.00 | dt: 809ms | tok/sec: 20,243 | epoch: 1 | remaining: 278s    
step 00038 (7.3%) | loss: 5.981636 | lrm: 1.00 | dt: 806ms | tok/sec: 20,324 | epoch: 1 | remaining: 277s    
step 00039 (7.6%) | loss: 5.965489 | lrm: 1.00 | dt: 816ms | tok/sec: 20,077 | epoch: 1 | remaining: 276s    
step 00040 (7.8%) | loss: 5.950289 | lrm: 1.00 | dt: 812ms | tok/sec: 20,169 | epoch: 1 | remaining: 276s    
step 00041 (8.1%) | loss: 5.938429 | lrm: 1.00 | dt: 803ms | tok/sec: 20,397 | epoch: 1 | remaining: 275s    
step 00042 (8.4%) | loss: 5.922112 | lrm: 1.00 | dt: 801ms | tok/sec: 20,450 | epoch: 1 | remaining: 274s    
step 00043 (8.6%) | loss: 5.897060 | lrm: 1.00 | dt: 805ms | tok/sec: 20,350 | epoch: 1 | remaining: 273s    
step 00044 (8.9%) | loss: 5.902344 | lrm: 1.00 | dt: 809ms | tok/sec: 20,262 | epoch: 1 | remaining: 272s    
step 00045 (9.2%) | loss: 5.891255 | lrm: 1.00 | dt: 803ms | tok/sec: 20,400 | epoch: 1 | remaining: 272s    
step 00046 (9.4%) | loss: 5.872922 | lrm: 1.00 | dt: 805ms | tok/sec: 20,361 | epoch: 1 | remaining: 271s    
step 00047 (9.7%) | loss: 5.864147 | lrm: 1.00 | dt: 809ms | tok/sec: 20,261 | epoch: 1 | remaining: 270s    
step 00048 (10.0%) | loss: 5.851225 | lrm: 1.00 | dt: 805ms | tok/sec: 20,364 | epoch: 1 | remaining: 269s    
step 00049 (10.3%) | loss: 5.841340 | lrm: 1.00 | dt: 807ms | tok/sec: 20,311 | epoch: 1 | remaining: 268s    
step 00050 (10.5%) | loss: 5.814010 | lrm: 1.00 | dt: 814ms | tok/sec: 20,118 | epoch: 1 | remaining: 268s    
step 00051 (10.8%) | loss: 5.794798 | lrm: 1.00 | dt: 808ms | tok/sec: 20,267 | epoch: 1 | remaining: 267s    
step 00052 (11.1%) | loss: 5.787201 | lrm: 1.00 | dt: 811ms | tok/sec: 20,190 | epoch: 1 | remaining: 266s    
step 00053 (11.3%) | loss: 5.771112 | lrm: 1.00 | dt: 808ms | tok/sec: 20,271 | epoch: 1 | remaining: 265s    
step 00054 (11.6%) | loss: 5.760837 | lrm: 1.00 | dt: 808ms | tok/sec: 20,283 | epoch: 1 | remaining: 264s    
step 00055 (11.9%) | loss: 5.758681 | lrm: 1.00 | dt: 808ms | tok/sec: 20,289 | epoch: 1 | remaining: 264s    
step 00056 (12.1%) | loss: 5.744613 | lrm: 1.00 | dt: 802ms | tok/sec: 20,429 | epoch: 1 | remaining: 263s    
step 00057 (12.4%) | loss: 5.736557 | lrm: 1.00 | dt: 803ms | tok/sec: 20,392 | epoch: 1 | remaining: 262s    
step 00058 (12.7%) | loss: 5.736953 | lrm: 1.00 | dt: 803ms | tok/sec: 20,399 | epoch: 1 | remaining: 261s    
step 00059 (12.9%) | loss: 5.733363 | lrm: 1.00 | dt: 808ms | tok/sec: 20,275 | epoch: 1 | remaining: 260s    
step 00060 (13.2%) | loss: 5.722721 | lrm: 1.00 | dt: 806ms | tok/sec: 20,338 | epoch: 1 | remaining: 260s    
step 00061 (13.5%) | loss: 5.714912 | lrm: 1.00 | dt: 815ms | tok/sec: 20,095 | epoch: 1 | remaining: 259s    
step 00062 (13.8%) | loss: 5.700483 | lrm: 1.00 | dt: 815ms | tok/sec: 20,104 | epoch: 1 | remaining: 258s    
step 00063 (14.0%) | loss: 5.687826 | lrm: 1.00 | dt: 822ms | tok/sec: 19,932 | epoch: 1 | remaining: 257s    
step 00064 (14.3%) | loss: 5.676957 | lrm: 1.00 | dt: 817ms | tok/sec: 20,048 | epoch: 1 | remaining: 256s    
step 00065 (14.6%) | loss: 5.676846 | lrm: 1.00 | dt: 819ms | tok/sec: 20,016 | epoch: 1 | remaining: 255s    
step 00066 (14.8%) | loss: 5.675925 | lrm: 1.00 | dt: 828ms | tok/sec: 19,780 | epoch: 1 | remaining: 255s    
step 00067 (15.1%) | loss: 5.659072 | lrm: 1.00 | dt: 784ms | tok/sec: 20,886 | epoch: 1 | remaining: 254s    
step 00068 (15.4%) | loss: 5.653756 | lrm: 1.00 | dt: 784ms | tok/sec: 20,892 | epoch: 1 | remaining: 253s    
step 00069 (15.6%) | loss: 5.648101 | lrm: 1.00 | dt: 785ms | tok/sec: 20,859 | epoch: 1 | remaining: 252s    
step 00070 (15.9%) | loss: 5.641294 | lrm: 1.00 | dt: 789ms | tok/sec: 20,756 | epoch: 1 | remaining: 252s    
step 00071 (16.2%) | loss: 5.623272 | lrm: 1.00 | dt: 779ms | tok/sec: 21,024 | epoch: 1 | remaining: 251s    
step 00072 (16.4%) | loss: 5.609195 | lrm: 1.00 | dt: 879ms | tok/sec: 18,646 | epoch: 1 | remaining: 250s    
step 00073 (16.7%) | loss: 5.596481 | lrm: 1.00 | dt: 810ms | tok/sec: 20,228 | epoch: 1 | remaining: 249s    
step 00074 (17.0%) | loss: 5.600973 | lrm: 1.00 | dt: 810ms | tok/sec: 20,236 | epoch: 1 | remaining: 248s    
step 00075 (17.3%) | loss: 5.614779 | lrm: 1.00 | dt: 829ms | tok/sec: 19,757 | epoch: 1 | remaining: 247s    
step 00076 (17.5%) | loss: 5.606098 | lrm: 1.00 | dt: 810ms | tok/sec: 20,237 | epoch: 1 | remaining: 247s    
step 00077 (17.8%) | loss: 5.579111 | lrm: 1.00 | dt: 812ms | tok/sec: 20,186 | epoch: 1 | remaining: 246s    
step 00078 (18.1%) | loss: 5.556389 | lrm: 1.00 | dt: 807ms | tok/sec: 20,296 | epoch: 1 | remaining: 245s    
step 00079 (18.3%) | loss: 5.560704 | lrm: 1.00 | dt: 804ms | tok/sec: 20,386 | epoch: 1 | remaining: 244s    
step 00080 (18.6%) | loss: 5.552124 | lrm: 1.00 | dt: 803ms | tok/sec: 20,399 | epoch: 1 | remaining: 243s    
step 00081 (18.9%) | loss: 5.540776 | lrm: 1.00 | dt: 815ms | tok/sec: 20,115 | epoch: 1 | remaining: 243s    
step 00082 (19.2%) | loss: 5.538935 | lrm: 1.00 | dt: 805ms | tok/sec: 20,340 | epoch: 1 | remaining: 242s    
step 00083 (19.4%) | loss: 5.539753 | lrm: 1.00 | dt: 810ms | tok/sec: 20,220 | epoch: 1 | remaining: 241s    
step 00084 (19.7%) | loss: 5.542681 | lrm: 1.00 | dt: 807ms | tok/sec: 20,298 | epoch: 1 | remaining: 240s    
step 00085 (20.0%) | loss: 5.536723 | lrm: 1.00 | dt: 803ms | tok/sec: 20,401 | epoch: 1 | remaining: 239s    
step 00086 (20.2%) | loss: 5.522755 | lrm: 1.00 | dt: 810ms | tok/sec: 20,234 | epoch: 1 | remaining: 239s    
step 00087 (20.5%) | loss: 5.504090 | lrm: 1.00 | dt: 802ms | tok/sec: 20,436 | epoch: 1 | remaining: 238s    
step 00088 (20.8%) | loss: 5.476907 | lrm: 1.00 | dt: 804ms | tok/sec: 20,377 | epoch: 1 | remaining: 237s    
step 00089 (21.0%) | loss: 5.490139 | lrm: 1.00 | dt: 811ms | tok/sec: 20,209 | epoch: 1 | remaining: 236s    
step 00090 (21.3%) | loss: 5.483636 | lrm: 1.00 | dt: 800ms | tok/sec: 20,477 | epoch: 1 | remaining: 235s    
step 00091 (21.6%) | loss: 5.474392 | lrm: 1.00 | dt: 799ms | tok/sec: 20,508 | epoch: 1 | remaining: 234s    
step 00092 (21.8%) | loss: 5.465842 | lrm: 1.00 | dt: 811ms | tok/sec: 20,209 | epoch: 1 | remaining: 234s    
step 00093 (22.1%) | loss: 5.441317 | lrm: 1.00 | dt: 803ms | tok/sec: 20,401 | epoch: 1 | remaining: 233s    
step 00094 (22.4%) | loss: 5.424239 | lrm: 1.00 | dt: 803ms | tok/sec: 20,411 | epoch: 1 | remaining: 232s    
step 00095 (22.6%) | loss: 5.422545 | lrm: 1.00 | dt: 805ms | tok/sec: 20,357 | epoch: 1 | remaining: 231s    
step 00096 (22.9%) | loss: 5.412657 | lrm: 1.00 | dt: 807ms | tok/sec: 20,309 | epoch: 1 | remaining: 230s    
step 00097 (23.2%) | loss: 5.401014 | lrm: 1.00 | dt: 809ms | tok/sec: 20,254 | epoch: 1 | remaining: 230s    
step 00098 (23.4%) | loss: 5.397646 | lrm: 1.00 | dt: 804ms | tok/sec: 20,380 | epoch: 1 | remaining: 229s    
step 00099 (23.7%) | loss: 5.393029 | lrm: 1.00 | dt: 802ms | tok/sec: 20,433 | epoch: 1 | remaining: 228s    
step 00100 (24.0%) | loss: 5.389079 | lrm: 1.00 | dt: 809ms | tok/sec: 20,254 | epoch: 1 | remaining: 227s    
step 00101 (24.3%) | loss: 5.377373 | lrm: 1.00 | dt: 810ms | tok/sec: 20,227 | epoch: 1 | remaining: 226s    
step 00102 (24.5%) | loss: 5.371249 | lrm: 1.00 | dt: 809ms | tok/sec: 20,246 | epoch: 1 | remaining: 226s    
step 00103 (24.8%) | loss: 5.381379 | lrm: 1.00 | dt: 815ms | tok/sec: 20,101 | epoch: 1 | remaining: 225s    
step 00104 (25.1%) | loss: 5.355617 | lrm: 1.00 | dt: 804ms | tok/sec: 20,383 | epoch: 1 | remaining: 224s    
step 00105 (25.3%) | loss: 5.362500 | lrm: 1.00 | dt: 805ms | tok/sec: 20,355 | epoch: 1 | remaining: 223s    
step 00106 (25.6%) | loss: 5.346715 | lrm: 1.00 | dt: 802ms | tok/sec: 20,432 | epoch: 1 | remaining: 222s    
step 00107 (25.9%) | loss: 5.340690 | lrm: 1.00 | dt: 819ms | tok/sec: 20,006 | epoch: 1 | remaining: 222s    
step 00108 (26.1%) | loss: 5.344549 | lrm: 1.00 | dt: 818ms | tok/sec: 20,039 | epoch: 1 | remaining: 221s    
step 00109 (26.4%) | loss: 5.320000 | lrm: 1.00 | dt: 820ms | tok/sec: 19,987 | epoch: 1 | remaining: 220s    
step 00110 (26.7%) | loss: 5.314933 | lrm: 1.00 | dt: 807ms | tok/sec: 20,314 | epoch: 1 | remaining: 219s    
step 00111 (27.0%) | loss: 5.312671 | lrm: 1.00 | dt: 812ms | tok/sec: 20,170 | epoch: 1 | remaining: 218s    
step 00112 (27.2%) | loss: 5.299269 | lrm: 1.00 | dt: 824ms | tok/sec: 19,874 | epoch: 1 | remaining: 217s    
step 00113 (27.5%) | loss: 5.287046 | lrm: 1.00 | dt: 804ms | tok/sec: 20,387 | epoch: 1 | remaining: 217s    
step 00114 (27.8%) | loss: 5.283197 | lrm: 1.00 | dt: 810ms | tok/sec: 20,224 | epoch: 1 | remaining: 216s    
step 00115 (28.0%) | loss: 5.287105 | lrm: 1.00 | dt: 808ms | tok/sec: 20,280 | epoch: 1 | remaining: 215s    
step 00116 (28.3%) | loss: 5.283293 | lrm: 1.00 | dt: 807ms | tok/sec: 20,301 | epoch: 1 | remaining: 214s    
step 00117 (28.6%) | loss: 5.294715 | lrm: 1.00 | dt: 853ms | tok/sec: 19,197 | epoch: 1 | remaining: 213s    
step 00118 (28.9%) | loss: 5.281355 | lrm: 1.00 | dt: 826ms | tok/sec: 19,830 | epoch: 1 | remaining: 213s    
step 00119 (29.1%) | loss: 5.267386 | lrm: 1.00 | dt: 810ms | tok/sec: 20,234 | epoch: 1 | remaining: 212s    
step 00120 (29.4%) | loss: 5.255951 | lrm: 1.00 | dt: 825ms | tok/sec: 19,868 | epoch: 1 | remaining: 211s    
step 00121 (29.7%) | loss: 5.279564 | lrm: 1.00 | dt: 814ms | tok/sec: 20,123 | epoch: 1 | remaining: 210s    
step 00122 (30.0%) | loss: 5.278866 | lrm: 1.00 | dt: 818ms | tok/sec: 20,035 | epoch: 1 | remaining: 209s    
step 00123 (30.2%) | loss: 5.259894 | lrm: 1.00 | dt: 819ms | tok/sec: 19,994 | epoch: 1 | remaining: 209s    
step 00124 (30.5%) | loss: 5.260225 | lrm: 1.00 | dt: 818ms | tok/sec: 20,024 | epoch: 1 | remaining: 208s    
step 00125 (30.8%) | loss: 5.263786 | lrm: 1.00 | dt: 814ms | tok/sec: 20,116 | epoch: 1 | remaining: 207s    
step 00126 (31.0%) | loss: 5.253684 | lrm: 1.00 | dt: 808ms | tok/sec: 20,268 | epoch: 1 | remaining: 206s    
step 00127 (31.3%) | loss: 5.266103 | lrm: 1.00 | dt: 807ms | tok/sec: 20,313 | epoch: 1 | remaining: 205s    
step 00128 (31.6%) | loss: 5.249022 | lrm: 1.00 | dt: 814ms | tok/sec: 20,135 | epoch: 1 | remaining: 204s    
step 00129 (31.9%) | loss: 5.258845 | lrm: 1.00 | dt: 812ms | tok/sec: 20,180 | epoch: 1 | remaining: 204s    
step 00130 (32.1%) | loss: 5.249535 | lrm: 1.00 | dt: 814ms | tok/sec: 20,134 | epoch: 1 | remaining: 203s    
step 00131 (32.4%) | loss: 5.250607 | lrm: 1.00 | dt: 806ms | tok/sec: 20,325 | epoch: 1 | remaining: 202s    
step 00132 (32.7%) | loss: 5.234168 | lrm: 1.00 | dt: 811ms | tok/sec: 20,192 | epoch: 1 | remaining: 201s    
step 00133 (32.9%) | loss: 5.235248 | lrm: 1.00 | dt: 809ms | tok/sec: 20,240 | epoch: 1 | remaining: 200s    
step 00134 (33.2%) | loss: 5.227082 | lrm: 1.00 | dt: 814ms | tok/sec: 20,127 | epoch: 1 | remaining: 200s    
step 00135 (33.5%) | loss: 5.245085 | lrm: 1.00 | dt: 815ms | tok/sec: 20,102 | epoch: 1 | remaining: 199s    
step 00136 (33.7%) | loss: 5.232713 | lrm: 1.00 | dt: 820ms | tok/sec: 19,988 | epoch: 1 | remaining: 198s    
step 00137 (34.0%) | loss: 5.227262 | lrm: 1.00 | dt: 828ms | tok/sec: 19,783 | epoch: 1 | remaining: 197s    
step 00138 (34.3%) | loss: 5.220958 | lrm: 1.00 | dt: 818ms | tok/sec: 20,021 | epoch: 1 | remaining: 196s    
step 00139 (34.6%) | loss: 5.211469 | lrm: 1.00 | dt: 805ms | tok/sec: 20,352 | epoch: 1 | remaining: 195s    
step 00140 (34.8%) | loss: 5.213153 | lrm: 1.00 | dt: 795ms | tok/sec: 20,606 | epoch: 1 | remaining: 195s    
step 00141 (35.1%) | loss: 5.192049 | lrm: 1.00 | dt: 788ms | tok/sec: 20,799 | epoch: 1 | remaining: 194s    
step 00142 (35.4%) | loss: 5.167957 | lrm: 1.00 | dt: 814ms | tok/sec: 20,129 | epoch: 1 | remaining: 193s    
step 00143 (35.6%) | loss: 5.186964 | lrm: 1.00 | dt: 791ms | tok/sec: 20,711 | epoch: 1 | remaining: 192s    
step 00144 (35.9%) | loss: 5.192317 | lrm: 1.00 | dt: 790ms | tok/sec: 20,731 | epoch: 1 | remaining: 192s    
step 00145 (36.2%) | loss: 5.180205 | lrm: 1.00 | dt: 807ms | tok/sec: 20,295 | epoch: 1 | remaining: 191s    
step 00146 (36.4%) | loss: 5.171754 | lrm: 1.00 | dt: 797ms | tok/sec: 20,560 | epoch: 1 | remaining: 190s    
step 00147 (36.7%) | loss: 5.150358 | lrm: 1.00 | dt: 795ms | tok/sec: 20,597 | epoch: 1 | remaining: 189s    
step 00148 (37.0%) | loss: 5.142009 | lrm: 1.00 | dt: 793ms | tok/sec: 20,649 | epoch: 1 | remaining: 188s    
step 00149 (37.2%) | loss: 5.136628 | lrm: 1.00 | dt: 824ms | tok/sec: 19,871 | epoch: 1 | remaining: 187s    
step 00150 (37.5%) | loss: 5.127971 | lrm: 1.00 | dt: 807ms | tok/sec: 20,293 | epoch: 1 | remaining: 187s    
step 00151 (37.8%) | loss: 5.121908 | lrm: 1.00 | dt: 796ms | tok/sec: 20,570 | epoch: 1 | remaining: 186s    
step 00152 (38.0%) | loss: 5.117019 | lrm: 1.00 | dt: 797ms | tok/sec: 20,558 | epoch: 1 | remaining: 185s    
step 00153 (38.3%) | loss: 5.101314 | lrm: 1.00 | dt: 800ms | tok/sec: 20,487 | epoch: 1 | remaining: 184s    
step 00154 (38.6%) | loss: 5.107796 | lrm: 1.00 | dt: 798ms | tok/sec: 20,537 | epoch: 1 | remaining: 183s    
step 00155 (38.8%) | loss: 5.115198 | lrm: 1.00 | dt: 802ms | tok/sec: 20,433 | epoch: 1 | remaining: 183s    
step 00156 (39.1%) | loss: 5.115635 | lrm: 1.00 | dt: 802ms | tok/sec: 20,423 | epoch: 1 | remaining: 182s    
step 00157 (39.4%) | loss: 5.101079 | lrm: 1.00 | dt: 827ms | tok/sec: 19,803 | epoch: 1 | remaining: 181s    
step 00158 (39.6%) | loss: 5.098777 | lrm: 1.00 | dt: 1091ms | tok/sec: 15,015 | epoch: 1 | remaining: 180s    
step 00159 (40.0%) | loss: 5.089160 | lrm: 1.00 | dt: 827ms | tok/sec: 19,820 | epoch: 1 | remaining: 179s    
step 00160 (40.3%) | loss: 5.088027 | lrm: 1.00 | dt: 839ms | tok/sec: 19,516 | epoch: 1 | remaining: 178s    
step 00161 (40.6%) | loss: 5.113777 | lrm: 1.00 | dt: 846ms | tok/sec: 19,355 | epoch: 1 | remaining: 177s    
step 00162 (40.8%) | loss: 5.118100 | lrm: 1.00 | dt: 842ms | tok/sec: 19,465 | epoch: 1 | remaining: 177s    
step 00163 (41.1%) | loss: 5.101563 | lrm: 1.00 | dt: 844ms | tok/sec: 19,420 | epoch: 1 | remaining: 176s    
step 00164 (41.4%) | loss: 5.103363 | lrm: 1.00 | dt: 978ms | tok/sec: 16,756 | epoch: 1 | remaining: 175s    
step 00165 (41.7%) | loss: 5.106383 | lrm: 1.00 | dt: 849ms | tok/sec: 19,307 | epoch: 1 | remaining: 174s    
step 00166 (42.0%) | loss: 5.108270 | lrm: 1.00 | dt: 838ms | tok/sec: 19,546 | epoch: 1 | remaining: 173s    
step 00167 (42.3%) | loss: 5.099594 | lrm: 1.00 | dt: 836ms | tok/sec: 19,599 | epoch: 1 | remaining: 172s    
step 00168 (42.6%) | loss: 5.099299 | lrm: 1.00 | dt: 832ms | tok/sec: 19,695 | epoch: 1 | remaining: 171s    
step 00169 (42.9%) | loss: 5.082374 | lrm: 1.00 | dt: 847ms | tok/sec: 19,348 | epoch: 1 | remaining: 171s    
step 00170 (43.1%) | loss: 5.091940 | lrm: 1.00 | dt: 839ms | tok/sec: 19,531 | epoch: 1 | remaining: 170s    
step 00171 (43.4%) | loss: 5.081842 | lrm: 1.00 | dt: 838ms | tok/sec: 19,544 | epoch: 1 | remaining: 169s    
step 00172 (43.7%) | loss: 5.074929 | lrm: 1.00 | dt: 835ms | tok/sec: 19,627 | epoch: 1 | remaining: 168s    
step 00173 (44.0%) | loss: 5.067283 | lrm: 1.00 | dt: 847ms | tok/sec: 19,342 | epoch: 1 | remaining: 167s    
step 00174 (44.3%) | loss: 5.077732 | lrm: 1.00 | dt: 1005ms | tok/sec: 16,299 | epoch: 1 | remaining: 166s    
step 00175 (44.6%) | loss: 5.094244 | lrm: 1.00 | dt: 840ms | tok/sec: 19,499 | epoch: 1 | remaining: 165s    
step 00176 (44.9%) | loss: 5.107107 | lrm: 1.00 | dt: 837ms | tok/sec: 19,578 | epoch: 1 | remaining: 165s    
step 00177 (45.1%) | loss: 5.089568 | lrm: 1.00 | dt: 830ms | tok/sec: 19,750 | epoch: 1 | remaining: 164s    
step 00178 (45.4%) | loss: 5.092740 | lrm: 1.00 | dt: 824ms | tok/sec: 19,883 | epoch: 1 | remaining: 163s    
